"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"171","Kristian Wilkerson","WR","BUF","-","-","-","-","-","9.8","0","-","-","-","-","BYE","-","-","-","-","-","-","4.9","9.8"
"172","Devontez Walker","WR","BAL","-","-","-","-","-","-","0","-","0","-","-","0","-","BYE","9.1","0","0","0","1.3","9.1"
"173","Tyquan Thornton","WR","KC","4.7","0","0","0","0","BYE","-","4","-","-","-","-","-","-","-","-","-","-","1.5","8.7"
"174","Treylon Burks","WR","TEN","1.3","0","1.9","2.3","BYE","2","-","-","-","-","-","-","-","-","-","-","-","-","1.5","7.5"
"175","Dee Eskridge","WR","MIA","-","-","4","0","-","BYE","-","1.6","0","-","-","-","-","0","-","-","1.8","-","1.2","7.4"
"176","Terrace Marshall Jr.","WR","PHI","-","-","-","-","BYE","-","-","-","-","-","0","-","0","1.6","1.7","0","3.8","0","1","7.1"
"176","Tim Jones","WR","MIN","0","-","0","0","0","0","0","3","2","0","0","-","0","0","0","0","2.1","0","0.4","7.1"
"178","Nikko Remigio","WR","KC","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0","0","0","0","6.8","1.4","6.8"
"179","Dan Chisena","WR","FA","-","-","-","-","-","-","-","-","-","-","-","0","1.6","0","-","3.3","1.8","0","1.1","6.7"
"179","Deven Thompkins","WR","FA","-","-","-","-","-","-","-","-","-0.2","0","-","4.3","0","1.7","0","0.9","-","-","1","6.7"
"181","Cody White","WR","SEA","-","-","-","-","-","-","-","-","6.4","BYE","0","0","0","-","-","-","-","-","1.6","6.4"
"182","Xavier Smith","WR","LAR","-","-","0","0","2.6","BYE","3","0","0","0","0","0","0","0","0","0","0","0.6","0.4","6.2"
"183","Alex Bachman","WR","LV","-","-","-","0","0","6.1","0","0","-","BYE","-","-","-","-","-","-","-","-","1.2","6.1"
"184","Allen Robinson II","WR","FA","-","-","0","-","-","0","-","0","1.2","0","1.7","0","0","0","0","0","3.1","-","0.5","6"
"184","Ihmir Smith-Marsette","WR","NYG","-","-","0","0","0","0","0","0","0","0","BYE","0","0","0","0","0","6","0","0.4","6"
"186","David Bell","WR","CLE","-","5.7","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","5.7","5.7"
"187","Charlie Jones","WR","CIN","-0.5","0","0","0","0","0","6","0","-","-","-","BYE","-","-","-","-","-","-","0.7","5.5"
"188","Malachi Corley","WR","NYJ","0","1.4","-","-","-","-","-","0","-0.2","1.2","2","BYE","0.8","-","-","-","-","-","0.7","5.2"
"188","Jamari Thrash","WR","CLE","-","-","-","-","-","-","0","-","0","BYE","2.1","0","3.1","-","0","0","0","0","0.6","5.2"
"190","Trenton Irwin","WR","JAC","1.6","1.5","-","-","-","0","-","1.4","0","0","0","BYE","-","-","-","-","-","-","0.6","4.5"
"191","Ronnie Bell","WR","DET","0","0","2.2","-","0","-","2","0","-","0","-","0","-","-","-","-","-","-","0.5","4.2"
"192","Austin Trammell","WR","JAC","-","-","-","-","-","-","-","-","4","-","-","BYE","-","-","-","-","-","-","4","4"
"193","Mason Kinsey","WR","TEN","-","-","-","-","BYE","-","-","0","-","-","-","-","-","0","2.1","1.6","0","0","0.6","3.7"
"194","Anthony Gould","WR","IND","0","0","0","-","-","-","-","-","-","-","-","-","0","BYE","3.3","0","0","0","0.4","3.3"
"195","Isaiah Hodgins","WR","SF","-","-","-","-","0","1.5","-","-","BYE","1.7","-","-","-","-","-","-","-","-","1.1","3.2"
"196","Grant DuBose","WR","FA","0","2.3","-","-","-","-","-","-","-","-","-","-","-","-","0.8","-","-","-","1","3.1"
"197","James Proche II","WR","TEN","-","0","0","1.3","0","-","-","-","-","-","-","-","-","3.8","-2","0","0","0","0.3","3.1"
"198","Chris Blair","WR","ATL","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","2.7","0","0","0.9","2.7"
"199","Isaiah Williams","WR","CIN","-","-","-","-","-","-","-","2.6","0","-","-","BYE","0","0","0","0","0","0","0.3","2.6"
"199","Anthony Miller","WR","BAL","-","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","0","2.6","-","1.3","2.6"
"201","Casey Washington","WR","ATL","-","-","-","-","-","-","2.4","-","-","-","0","BYE","-","-","-","-","-","-","1.2","2.4"
"202","Javon Baker","WR","NE","-","0","-","-","-","-","-","0","0","0","0","0","0","BYE","-","0","0","2.2","0.2","2.2"
"203","Trent Taylor","WR","SF","-","-","-","-","0","-","-","-","BYE","-","-","-","-","-","-","-","-","2.1","1.1","2.1"
"204","Brandon Johnson","WR","PIT","-","-","-","-","1.9","-","0","0","BYE","-","-","-","-","-","-","-","-","-","0.6","1.9"
"204","Kendric Pryor","WR","CIN","-","-","-","-","-","-","-","-","1.9","-","-","BYE","-","-","-","-","-","0","1","1.9"
"206","Ramel Keyton","WR","FA","-","-","-","-","-","-","-","-","1.7","-","0","0","-","0","0","0","0","0","0.2","1.7"
"207","Jaelon Darden","WR","FA","0","-","-","-","-","1.6","0","0","0","-","-","-","0","0","0","0","0","0","0.1","1.6"
"207","Collin Johnson","WR","LV","-","0","0","-","-","-","-","-","-","BYE","-","0","0","1.6","0","0","0","0","0.2","1.6"
"207","John Ross","WR","FA","-","-","-","1.6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.6","1.6"
"210","Robbie Chosen","WR","SF","0","1.5","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","0.8","1.5"
"210","Tyler Scott","WR","CHI","-","0","0","0","0","0","BYE","-","0","-","0","-","-","-","1.5","0","0","0","0.1","1.5"
"212","Kameron Johnson","WR","TB","0","-","-","0","0","0","-","-","-","-","BYE","-","-","-","-","-","1.1","-","0.2","1.1"
"213","Velus Jones Jr.","WR","NO","0.9","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","0","-","0.5","0.9"
"214","Brycen Tremayne","WR","CAR","-","-","-","-","0.8","-","-","-","-","-","BYE","-","-","-","-","-","0","-","0.4","0.8"
"215","Jalen Cropper","WR","DAL","-","-","-","-","-","-","BYE","-","-","0","-","-","-","-","-","-","-","-","0","0"
